[1] ROUGE-1: 3.83	ROUGE-2: 3.59	ROUGE-L: 2.83
[24] ROUGE-1: 40.39	ROUGE-2: 29.58	ROUGE-L: 27.33
[25] ROUGE-1: 3.24	ROUGE-2: 2.46	ROUGE-L: 2.05
[26] ROUGE-1: 38.51	ROUGE-2: 33.68	ROUGE-L: 22.17
[27] ROUGE-1: 16.72	ROUGE-2: 15.74	ROUGE-L: 8.66
[28] ROUGE-1: 2.89	ROUGE-2: 2.84	ROUGE-L: 1.91
[29] ROUGE-1: 11.93	ROUGE-2: 11.81	ROUGE-L: 6.76
[30] ROUGE-1: 5.22	ROUGE-2: 4.04	ROUGE-L: 3.42
[31] ROUGE-1: 4.61	ROUGE-2: 4.41	ROUGE-L: 2.65
[32] ROUGE-1: 2.57	ROUGE-2: 2.16	ROUGE-L: 1.86
[33] ROUGE-1: 6.83	ROUGE-2: 6.27	ROUGE-L: 3.68
[34] ROUGE-1: 4.68	ROUGE-2: 4.43	ROUGE-L: 2.84
[35] ROUGE-1: 6.91	ROUGE-2: 5.47	ROUGE-L: 3.51
[36] ROUGE-1: 3.58	ROUGE-2: 3.05	ROUGE-L: 2.26
[37] ROUGE-1: 5.39	ROUGE-2: 3.91	ROUGE-L: 3.18
[38] ROUGE-1: 2.54	ROUGE-2: 2.14	ROUGE-L: 1.70
[39] ROUGE-1: 26.44	ROUGE-2: 18.07	ROUGE-L: 10.86
[40] ROUGE-1: 6.47	ROUGE-2: 6.19	ROUGE-L: 3.84
[41] ROUGE-1: 7.83	ROUGE-2: 7.46	ROUGE-L: 4.39
[42] ROUGE-1: 24.34	ROUGE-2: 15.56	ROUGE-L: 15.32
[43] ROUGE-1: 3.37	ROUGE-2: 2.42	ROUGE-L: 2.18
[44] ROUGE-1: 3.75	ROUGE-2: 3.67	ROUGE-L: 2.45
[45] ROUGE-1: 33.03	ROUGE-2: 26.52	ROUGE-L: 21.54
[46] ROUGE-1: 10.80	ROUGE-2: 8.61	ROUGE-L: 6.53
[47] ROUGE-1: 2.46	ROUGE-2: 2.15	ROUGE-L: 1.82
[48] ROUGE-1: 35.32	ROUGE-2: 29.17	ROUGE-L: 20.00
[49] ROUGE-1: 18.96	ROUGE-2: 16.11	ROUGE-L: 11.69
[50] ROUGE-1: 4.30	ROUGE-2: 3.14	ROUGE-L: 2.52
[51] ROUGE-1: 11.91	ROUGE-2: 11.34	ROUGE-L: 7.10
[52] ROUGE-1: 3.06	ROUGE-2: 2.97	ROUGE-L: 2.08
[53] ROUGE-1: 32.56	ROUGE-2: 28.74	ROUGE-L: 17.25
[54] ROUGE-1: 10.11	ROUGE-2: 8.63	ROUGE-L: 6.86
[55] ROUGE-1: 18.52	ROUGE-2: 14.71	ROUGE-L: 9.62
[56] ROUGE-1: 38.75	ROUGE-2: 34.34	ROUGE-L: 25.76
[57] ROUGE-1: 36.41	ROUGE-2: 24.50	ROUGE-L: 24.44
[58] ROUGE-1: 3.50	ROUGE-2: 3.35	ROUGE-L: 2.33
[59] ROUGE-1: 54.93	ROUGE-2: 42.33	ROUGE-L: 41.01
[60] ROUGE-1: 23.41	ROUGE-2: 22.53	ROUGE-L: 13.65
[61] ROUGE-1: 2.85	ROUGE-2: 2.12	ROUGE-L: 1.99
[62] ROUGE-1: 5.09	ROUGE-2: 3.79	ROUGE-L: 3.11
[63] ROUGE-1: 11.23	ROUGE-2: 8.62	ROUGE-L: 7.05
[64] ROUGE-1: 35.53	ROUGE-2: 27.15	ROUGE-L: 25.09
[65] ROUGE-1: 3.49	ROUGE-2: 3.22	ROUGE-L: 2.10
[66] ROUGE-1: 3.62	ROUGE-2: 2.78	ROUGE-L: 2.46
[67] ROUGE-1: 41.04	ROUGE-2: 34.75	ROUGE-L: 22.41
[68] ROUGE-1: 74.32	ROUGE-2: 62.89	ROUGE-L: 53.86
[69] ROUGE-1: 3.50	ROUGE-2: 3.24	ROUGE-L: 2.31
[70] ROUGE-1: 10.23	ROUGE-2: 9.64	ROUGE-L: 5.63
[71] ROUGE-1: 2.14	ROUGE-2: 1.81	ROUGE-L: 1.50
[72] ROUGE-1: 8.46	ROUGE-2: 7.68	ROUGE-L: 4.43
[73] ROUGE-1: 4.02	ROUGE-2: 3.89	ROUGE-L: 2.48
[74] ROUGE-1: 19.71	ROUGE-2: 19.19	ROUGE-L: 11.16
[75] ROUGE-1: 24.18	ROUGE-2: 21.27	ROUGE-L: 12.69
[76] ROUGE-1: 27.45	ROUGE-2: 27.04	ROUGE-L: 16.74
[77] ROUGE-1: 2.86	ROUGE-2: 2.81	ROUGE-L: 1.96
[78] ROUGE-1: 36.13	ROUGE-2: 35.10	ROUGE-L: 18.07
[79] ROUGE-1: 3.58	ROUGE-2: 3.41	ROUGE-L: 2.32
[80] ROUGE-1: 3.15	ROUGE-2: 2.42	ROUGE-L: 1.84
[81] ROUGE-1: 39.44	ROUGE-2: 36.05	ROUGE-L: 22.74
[82] ROUGE-1: 3.27	ROUGE-2: 2.82	ROUGE-L: 2.24
[83] ROUGE-1: 2.22	ROUGE-2: 2.15	ROUGE-L: 1.43
[84] ROUGE-1: 15.21	ROUGE-2: 14.96	ROUGE-L: 7.87
[85] ROUGE-1: 25.74	ROUGE-2: 22.68	ROUGE-L: 14.48
[86] ROUGE-1: 26.13	ROUGE-2: 22.31	ROUGE-L: 18.89
[87] ROUGE-1: 36.49	ROUGE-2: 29.45	ROUGE-L: 16.82
[88] ROUGE-1: 4.75	ROUGE-2: 4.38	ROUGE-L: 2.92
[89] ROUGE-1: 24.98	ROUGE-2: 18.59	ROUGE-L: 14.45
[90] ROUGE-1: 11.88	ROUGE-2: 10.97	ROUGE-L: 6.40
[91] ROUGE-1: 3.41	ROUGE-2: 3.17	ROUGE-L: 2.18
[92] ROUGE-1: 3.70	ROUGE-2: 3.53	ROUGE-L: 2.30
[93] ROUGE-1: 5.67	ROUGE-2: 4.19	ROUGE-L: 2.99
[94] ROUGE-1: 11.77	ROUGE-2: 10.99	ROUGE-L: 5.89
[95] ROUGE-1: 37.96	ROUGE-2: 35.15	ROUGE-L: 23.97
[96] ROUGE-1: 2.66	ROUGE-2: 2.11	ROUGE-L: 2.06
[97] ROUGE-1: 33.97	ROUGE-2: 28.78	ROUGE-L: 21.29
[98] ROUGE-1: 4.03	ROUGE-2: 3.45	ROUGE-L: 2.48
[99] ROUGE-1: 2.77	ROUGE-2: 2.25	ROUGE-L: 1.80
[100] ROUGE-1: 2.34	ROUGE-2: 2.23	ROUGE-L: 1.75
